Categoria criminologa,Sottocategoria Criminologica,Circoscrizione,Localita,Area Verde,Data,Ora
Convivenza Civile,Altro,3,RACCONIGI/(CORSO)                                                     ,,31/05/2018,
Convivenza Civile,Altro,3,SERAO/MATILDE (VIA)                                                   ,,31/05/2018,
Convivenza Civile,Altro,4,SVIZZERA/(CORSO)                                                      ,,31/05/2018,
Convivenza Civile,Altro,6,VIRIGLIO/ALBERTO (VIA)                                                ,,31/05/2018,
Convivenza Civile,Altro,10,NEGARVILLE/CELESTE (VIA)                                              ,,31/05/2018,
Convivenza Civile,Altro,2,SEBASTOPOLI/(CORSO)                                                   ,,01/06/2018,
Convivenza Civile,Altro,4,CARRERA/VALENTINO (VIA)                                               ,,01/06/2018,
Convivenza Civile,Altro,6,PAISIELLO/GIOVANNI (VIA)                                              ,,01/06/2018,
Convivenza Civile,Altro,5,VENARIA/(VIA)                                                         ,,04/06/2018,
Convivenza Civile,Altro,6,BORGO TICINO/(VIA)                                                    ,,04/06/2018,
Convivenza Civile,Altro,7,NOVARA/(CORSO)                                                        ,,04/06/2018,10.40
Convivenza Civile,Altro,1,S. ANTONIO DA PADOVA/(VIA)                                            ,,05/06/2018,
Convivenza Civile,Altro,8,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,05/06/2018,
Convivenza Civile,Altro,8,ORISTANO/(VIA)                                                        ,,05/06/2018,
Convivenza Civile,Altro,4,BALBIS/GIAMBATTISTA (VIA)                                             ,,06/06/2018,
Convivenza Civile,Altro,8,CAI TORINO/(SALITA AL)                                                ,,06/06/2018,
Convivenza Civile,Altro,8,MARCONI/GUGLIELMO (CORSO)                                             ,,06/06/2018,
Convivenza Civile,Altro,8,VOLTURNO/(VIA)                                                        ,,06/06/2018,
Convivenza Civile,Altro,9,CASANA/SEVERINO (VIA)                                                 ,,06/06/2018,12.03
Convivenza Civile,Altro,5,GROSSETO/(CORSO)                                                      ,,07/06/2018,
Convivenza Civile,Altro,5,VENARIA/(VIA)                                                         ,,07/06/2018,
Convivenza Civile,Altro,3,SUSA/(VIA)                                                            ,,08/06/2018,
Convivenza Civile,Altro,6,GIULIO CESARE/(CORSO)                                                 ,,08/06/2018,
Convivenza Civile,Altro,5,LANZO/(VIA)                                                           ,,11/06/2018,
Convivenza Civile,Altro,7,MONGRANDO/(VIA)                                                       ,,11/06/2018,
Convivenza Civile,Altro,2,SEBASTOPOLI/(CORSO)                                                   ,,12/06/2018,
Convivenza Civile,Altro,6,VERCELLI/(CORSO)                                                      ,,13/06/2018,
Convivenza Civile,Altro,7,REGGIO/(VIA)                                                          ,,16/06/2018,
Convivenza Civile,Altro,6,SOANA/(VIA)                                                           ,,17/06/2018,
Convivenza Civile,Altro,5,SANSOVINO/ANDREA (VIA)                                                ,,18/06/2018,
Convivenza Civile,Altro,6,SOANA/(VIA)                                                           ,,18/06/2018,
Convivenza Civile,Altro,7,OSLAVIA/(VIA)                                                         ,,18/06/2018,
Convivenza Civile,Altro,2,DEL PRETE/CARLO (VIA)                                                 ,,19/06/2018,
Convivenza Civile,Altro,1,SACCHI/PAOLO (VIA)                                                    ,,19/06/2018,12.51
Convivenza Civile,Altro,7,S. MAURIZIO/(CORSO)                                                   ,,20/06/2018,
Convivenza Civile,Altro,4,ACTIS/VITTORIO (VIA)                                                  ,,21/06/2018,
Convivenza Civile,Altro,9,NIZZA/(VIA)                                                           ,,21/06/2018,
Convivenza Civile,Altro,1,MARIA VITTORIA/(VIA)                                                  ,,22/06/2018,
Convivenza Civile,Altro,9,BARBARESCO/(VIA)                                                      ,,22/06/2018,
Convivenza Civile,Altro,4,FRANCIA/(CORSO)                                                       ,,24/06/2018,
Convivenza Civile,Altro,6,SESIA/(VIA)                                                           ,,25/06/2018,
Convivenza Civile,Altro,8,CANOVA/ANTONIO (VIA)                                                  ,,26/06/2018,
Convivenza Civile,Altro,3,FREJUS/(VIA)                                                          ,,27/06/2018,
Convivenza Civile,Altro,3,DE SANCTIS/FRANCESCO (VIA)                                            ,,28/06/2018,14.33
Convivenza Civile,Altro,1,AVOGADRO/AMEDEO (VIA)                                                 ,,29/06/2018,
Convivenza Civile,Altro,3,COGNASSO/FRANCESCO (VIA)/                                             ,,29/06/2018,
Convivenza Civile,Altro,3,CAPRIE/(VIA)                                                          ,,30/06/2018,
Convivenza Civile,Comportamenti molesti,5,SANSOVINO/ANDREA (VIA)                                                ,,05/01/2018,
Convivenza Civile,Comportamenti molesti,1,PRINCIPE AMEDEO/(VIA)                                                 ,,12/01/2018,
Convivenza Civile,Comportamenti molesti,5,GROSSETO/(CORSO)                                                      ,,16/01/2018,
Convivenza Civile,Comportamenti molesti,4,S. DONATO/(VIA)                                                       ,,18/01/2018,
Convivenza Civile,Comportamenti molesti,6,VERCELLI/(CORSO)                                                      ,,22/01/2018,
Convivenza Civile,Comportamenti molesti,6,CASELLA/ALFREDO (VIA)                                                 ,,26/01/2018,
Convivenza Civile,Comportamenti molesti,3,SPALATO/(VIA)                                                         ,,21/02/2018,
Convivenza Civile,Comportamenti molesti,2,NOMIS DI COSSILLA/AUGUSTO (VIA)                                       ,,22/02/2018,
Convivenza Civile,Comportamenti molesti,4,TELESIO/BERNARDINO (CORSO)                                            ,,26/02/2018,
Convivenza Civile,Comportamenti molesti,7,GIULIO CESARE/(CORSO)                                                 ,,26/02/2018,
Convivenza Civile,Comportamenti molesti,1,REGINA MARGHERITA/(CORSO)                                             ,,01/03/2018,
Convivenza Civile,Comportamenti molesti,7,SAVONA/(LUNGO DORA)                                                   ,,01/03/2018,
Convivenza Civile,Comportamenti molesti,6,PALERMO/(CORSO)                                                       ,,02/03/2018,
Convivenza Civile,Comportamenti molesti,3,DROVETTI/BERNARDINO (VIA)                                             ,,15/03/2018,
Convivenza Civile,Comportamenti molesti,7,PRINCIPE ODDONE/(CORSO)                                               ,,19/03/2018,
Convivenza Civile,Comportamenti molesti,9,FLECCHIA/GIOVANNI (VIA)                                               ,,21/03/2018,
Convivenza Civile,Comportamenti molesti,1,BONAFOUS/ALFONSO (VIA)                                                ,,26/03/2018,
Convivenza Civile,Comportamenti molesti,3,BARDONECCHIA/(VIA)                                                    ,,03/04/2018,
Convivenza Civile,Comportamenti molesti,6,PAISIELLO/GIOVANNI (VIA)                                              ,,05/04/2018,
Convivenza Civile,Comportamenti molesti,6,RESPIGHI/OTTORINO (PIAZZA)                                            ,,05/04/2018,
Convivenza Civile,Comportamenti molesti,7,VIGEVANO/(CORSO)                                                      ,,13/04/2018,
Convivenza Civile,Comportamenti molesti,1,SOLFERINO/(PIAZZA)                                                    ,,19/04/2018,
Convivenza Civile,Comportamenti molesti,1,BONELLI/FRANCO (VIA)                                                  ,,28/04/2018,
Convivenza Civile,Comportamenti molesti,9,TRAIANO/(CORSO)                                                       ,,29/04/2018,
Convivenza Civile,Comportamenti molesti,1,BONAFOUS/ALFONSO (VIA)                                                ,,07/05/2018,
Convivenza Civile,Comportamenti molesti,1,MARIA VITTORIA/(VIA)                                                  ,,07/05/2018,
Convivenza Civile,Comportamenti molesti,6,MONTEVERDI/CLAUDIO (VIA)                                              ,,07/05/2018,
Convivenza Civile,Comportamenti molesti,1,CARIGNANO/(PIAZZA)                                                    ,,10/05/2018,
Convivenza Civile,Comportamenti molesti,7,REPUBBLICA/(PIAZZA DELLA)                                             ,,10/05/2018,13.10
Convivenza Civile,Comportamenti molesti,7,NAPIONE/GIOVANNI FRANCESCO (VIA)                                      ,,13/05/2018,
Convivenza Civile,Comportamenti molesti,5,LUINI/BERNARDINO (VIA)                                                ,,14/05/2018,
Convivenza Civile,Comportamenti molesti,4,BAVENO/(VIA)                                                          ,,15/05/2018,
Convivenza Civile,Comportamenti molesti,4,ROCCIAMELONE/(VIA)                                                    ,,16/05/2018,
Convivenza Civile,Comportamenti molesti,7,PISA/(VIA)                                                            ,,16/05/2018,
Convivenza Civile,Comportamenti molesti,8,S. MARGHERITA/(STRADA)                                                ,,18/05/2018,
Convivenza Civile,Comportamenti molesti,2,FERRARIS/GALILEO (CORSO)                                              ,,18/05/2018,10.26
Convivenza Civile,Comportamenti molesti,3,MALTA/(VIA)                                                           ,Area Verde,19/05/2018,
Convivenza Civile,Comportamenti molesti,3,DELLEANI/LORENZO (VIA)                                                ,,28/05/2018,
Convivenza Civile,Comportamenti molesti,1,VITTORIO EMANUELE II/(CORSO)                                          ,,07/06/2018,
Convivenza Civile,Comportamenti molesti,6,LAZIO/(LUNGO STURA)                                                   ,,08/06/2018,
Convivenza Civile,Comportamenti molesti,3,BRACCINI/PAOLO (VIA)                                                  ,,18/06/2018,
Convivenza Civile,Comportamenti molesti,8,DANTE/(CORSO)                                                         ,,21/06/2018,
Convivenza Civile,Comportamenti molesti,1,BURZIO/FILIPPO (VIA)                                                  ,,26/06/2018,
Convivenza Civile,Disturbi altri animali,7,OROPA/(VIA)                                                           ,,14/02/2018,
Convivenza Civile,Disturbi Cani,,,,15/01/2018,
Convivenza Civile,Disturbi Cani,8,CASALE/(CORSO)                                                        ,,19/01/2018,
Convivenza Civile,Disturbi Cani,7,LOMELLINA/(VIA)                                                       ,,29/01/2018,
Convivenza Civile,Disturbi Cani,1,ARQUATA/(VIA)                                                         ,,31/01/2018,
Convivenza Civile,Disturbi Cani,2,BAROCCHIO/(STRADA DEL)                                                ,,01/02/2018,
Convivenza Civile,Disturbi Cani,6,ANGLESIO/MARTINO (VIA)                                                ,Area Verde,09/02/2018,
Convivenza Civile,Disturbi Cani,8,S. VITO REVIGLIASCO/(STRADA)                                          ,Area Verde,12/02/2018,
Convivenza Civile,Disturbi Cani,6,CIGNA/FRANCESCO (VIA)                                                 ,,21/02/2018,
Convivenza Civile,Disturbi Cani,5,CALABRIA/(VIA)                                                        ,,09/03/2018,08.45
Convivenza Civile,Disturbi Cani,5,COPPINO/MICHELE (VIA)                                                 ,,22/03/2018,
Convivenza Civile,Disturbi Cani,3,POLONGHERA/(VIA)                                                      ,,27/03/2018,
Convivenza Civile,Disturbi Cani,7,BOCCACCIO/GIOVANNI (LARGO)                                            ,,27/03/2018,10.53
Convivenza Civile,Disturbi Cani,6,ADIGE/(VIA)                                                           ,,29/03/2018,
Convivenza Civile,Disturbi Cani,,,Area Verde,30/03/2018,
Convivenza Civile,Disturbi Cani,3,CARAGLIO/(VIA)                                                        ,,05/04/2018,
Convivenza Civile,Disturbi Cani,2,GAIDANO/PAOLO (VIA)                                                   ,,16/04/2018,
Convivenza Civile,Disturbi Cani,1,BRAMANTE/(CORSO)                                                      ,,19/04/2018,
Convivenza Civile,Disturbi Cani,4,SVIZZERA/(CORSO)                                                      ,,21/04/2018,
Convivenza Civile,Disturbi Cani,1,DUCA DEGLI ABRUZZI/(CORSO)                                            ,,09/05/2018,
Convivenza Civile,Disturbi Cani,6,BRUNO/LORENZO (VIA)                                                   ,,11/05/2018,
Convivenza Civile,Disturbi Cani,6,REGALDI/GIUSEPPE (VIA)                                                ,,15/05/2018,
Convivenza Civile,Disturbi Cani,5,MONTELLO/(VIA)                                                        ,,21/05/2018,
Convivenza Civile,Disturbi Cani,5,CIAMARELLA/(VIA)                                                      ,,25/05/2018,
Convivenza Civile,Disturbi Cani,2,LAGNASCO/(VIA)                                                        ,,28/05/2018,10.40
Convivenza Civile,Disturbi Cani,6,ULIVI/(VIA DEGLI)                                                     ,,31/05/2018,
Convivenza Civile,Disturbi Cani,1,CARLO FELICE/(PIAZZA)                                                 ,Area Verde,09/06/2018,
Convivenza Civile,Disturbi Cani,4,SALBERTRAND/(VIA)                                                     ,,09/06/2018,
Convivenza Civile,Disturbi Cani,10,DUINO/(VIA)                                                           ,,20/06/2018,
Convivenza Civile,Disturbi Cani,3,GENOLA/(VIA)                                                          ,,29/06/2018,
Convivenza Civile,Disturbi da locali,4,REGINA MARGHERITA/(CORSO)                                             ,,02/01/2018,
Convivenza Civile,Disturbi da locali,6,PORPORA/NICOLA (VIA)                                                  ,,02/01/2018,
Convivenza Civile,Disturbi da locali,1,PESCATORE/MATTEO (VIA)                                                ,,10/01/2018,
Convivenza Civile,Disturbi da locali,1,S. DOMENICO/(VIA)                                                     ,,10/01/2018,
Convivenza Civile,Disturbi da locali,1,BONAFOUS/ALFONSO (VIA)                                                ,,12/01/2018,
Convivenza Civile,Disturbi da locali,1,MARIA VITTORIA/(VIA)                                                  ,,12/01/2018,11.46
Convivenza Civile,Disturbi da locali,1,MERCANTINI/LUIGI (VIA)                                                ,,16/01/2018,14.29
Convivenza Civile,Disturbi da locali,4,LECCE/(CORSO)                                                         ,Area Verde,18/01/2018,
Convivenza Civile,Disturbi da locali,3,SPALATO/(VIA)                                                         ,,24/01/2018,11.40
Convivenza Civile,Disturbi da locali,6,VALDENGO/(VIA)                                                        ,,28/01/2018,
Convivenza Civile,Disturbi da locali,1,MERCANTI/(VIA)                                                        ,,29/01/2018,
Convivenza Civile,Disturbi da locali,1,BARBAROUX/GIUSEPPE (VIA)                                              ,,30/01/2018,10.20
Convivenza Civile,Disturbi da locali,8,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,01/02/2018,
Convivenza Civile,Disturbi da locali,8,GALLIARI/BERNARDINO (VIA)                                             ,,01/02/2018,
Convivenza Civile,Disturbi da locali,8,GALLIARI/BERNARDINO (VIA)                                             ,,01/02/2018,
Convivenza Civile,Disturbi da locali,8,PRINCIPE TOMMASO/(VIA)                                                ,,01/02/2018,
Convivenza Civile,Disturbi da locali,1,DES AMBROIS/LUIGI (VIA)                                               ,,01/02/2018,11.55
Convivenza Civile,Disturbi da locali,1,DES AMBROIS/LUIGI (VIA)                                               ,,01/02/2018,12.03
Convivenza Civile,Disturbi da locali,3,REVELLO/(VIA)                                                         ,,05/02/2018,
Convivenza Civile,Disturbi da locali,8,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,05/02/2018,11.35
Convivenza Civile,Disturbi da locali,5,FOLIGNO/(VIA)                                                         ,,07/02/2018,
Convivenza Civile,Disturbi da locali,1,PRINCIPE AMEDEO/(VIA)                                                 ,,08/02/2018,
Convivenza Civile,Disturbi da locali,8,THOVEZ/ENRICO (VIALE)                                                 ,,14/02/2018,
Convivenza Civile,Disturbi da locali,5,LOMBARDIA/(CORSO)                                                     ,,15/02/2018,
Convivenza Civile,Disturbi da locali,1,PESCATORE/MATTEO (VIA)                                                ,,20/02/2018,
Convivenza Civile,Disturbi da locali,1,ORFANE/(VIA DELLE)                                                    ,,23/02/2018,11.07
Convivenza Civile,Disturbi da locali,7,BALBO/CESARE (VIA)                                                    ,,05/03/2018,08.46
Convivenza Civile,Disturbi da locali,7,VERCELLI/(CORSO)                                                      ,,13/03/2018,08.04
Convivenza Civile,Disturbi da locali,6,NOVARA/(CORSO)                                                        ,,15/03/2018,07.18
Convivenza Civile,Disturbi da locali,7,BORGO DORA/(VIA)                                                      ,,15/03/2018,11.36
Convivenza Civile,Disturbi da locali,2,BASILICATA/(PIAZZA)                                                   ,,19/03/2018,
Convivenza Civile,Disturbi da locali,8,FOSCOLO/UGO (VIA)                                                     ,,22/03/2018,09.35
Convivenza Civile,Disturbi da locali,8,GRAN MADRE DI DIO/(PIAZZA)                                            ,,24/03/2018,
Convivenza Civile,Disturbi da locali,8,MONCALIERI/(CORSO)                                                    ,,24/03/2018,
Convivenza Civile,Disturbi da locali,8,MONCALIERI/(CORSO)                                                    ,,24/03/2018,
Convivenza Civile,Disturbi da locali,8,MONCALIERI/(CORSO)                                                    ,,24/03/2018,
Convivenza Civile,Disturbi da locali,8,MONCALIERI/(CORSO)                                                    ,,24/03/2018,
Convivenza Civile,Disturbi da locali,1,PESCATORE/MATTEO (VIA)                                                ,,26/03/2018,10.50
Convivenza Civile,Disturbi da locali,4,VALGIOIE/(VIA)                                                        ,,27/03/2018,11.45
Convivenza Civile,Disturbi da locali,8,NIZZA/(VIA)                                                           ,,27/03/2018,15.08
Convivenza Civile,Disturbi da locali,3,STELVIO/(VIA)                                                         ,,29/03/2018,
Convivenza Civile,Disturbi da locali,5,LUINI/BERNARDINO (VIA)                                                ,,29/03/2018,10.53
Convivenza Civile,Disturbi da locali,7,BELGIO/(CORSO)                                                        ,,30/03/2018,
Convivenza Civile,Disturbi da locali,7,FONTANESI/ANTONIO (VIA)                                               ,,02/04/2018,
Convivenza Civile,Disturbi da locali,3,FRANCIA/(CORSO)                                                       ,,03/04/2018,
Convivenza Civile,Disturbi da locali,7,NAPOLI/(LUNGO DORA)                                                   ,,03/04/2018,
Convivenza Civile,Disturbi da locali,7,S. MAURIZIO/(CORSO)                                                   ,,03/04/2018,
Convivenza Civile,Disturbi da locali,8,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,03/04/2018,10.47
Convivenza Civile,Disturbi da locali,7,VIGEVANO/(CORSO)                                                      ,,06/04/2018,12.28
Convivenza Civile,Disturbi da locali,3,VIRLE/(VIA)                                                           ,,14/04/2018,
Convivenza Civile,Disturbi da locali,1,SACCHI/PAOLO (VIA)                                                    ,,19/04/2018,
Convivenza Civile,Disturbi da locali,1,SOMMEILLER/GERMANO (CORSO)                                            ,,19/04/2018,
Convivenza Civile,Disturbi da locali,3,FATTORI/GIOVANNI (VIA)                                                ,,20/04/2018,
Convivenza Civile,Disturbi da locali,6,CENA/GIOVANNI (VIA)                                                   ,,20/04/2018,11.41
Convivenza Civile,Disturbi da locali,10,LOANO/(VIA)                                                           ,,21/04/2018,
Convivenza Civile,Disturbi da locali,10,FLEMING/ALESSANDRO (VIA)                                              ,,22/04/2018,
Convivenza Civile,Disturbi da locali,5,FOLIGNO/(VIA)                                                         ,,24/04/2018,
Convivenza Civile,Disturbi da locali,1,SOLFERINO/(PIAZZA)                                                    ,,25/04/2018,
Convivenza Civile,Disturbi da locali,6,GIULIO CESARE/(CORSO)                                                 ,,26/04/2018,
Convivenza Civile,Disturbi da locali,1,S. DOMENICO/(VIA)                                                     ,,26/04/2018,14.32
Convivenza Civile,Disturbi da locali,7,NIETZSCHE/FEDERICO (VIA)                                              ,,27/04/2018,
Convivenza Civile,Disturbi da locali,3,FREJUS/(VIA)                                                          ,,27/04/2018,11.23
Convivenza Civile,Disturbi da locali,1,MERCANTINI/LUIGI (VIA)                                                ,,30/04/2018,
Convivenza Civile,Disturbi da locali,3,BARGE/(VIA)                                                           ,,02/05/2018,
Convivenza Civile,Disturbi da locali,1,PO/(VIA)                                                              ,,03/05/2018,11.09
Convivenza Civile,Disturbi da locali,1,ORFANE/(VIA DELLE)                                                    ,,04/05/2018,
Convivenza Civile,Disturbi da locali,3,TRECATE/(VIA)                                                         ,,04/05/2018,
Convivenza Civile,Disturbi da locali,6,BORGO TICINO/(VIA)                                                    ,,07/05/2018,
Convivenza Civile,Disturbi da locali,7,BRA/(VIA)                                                             ,,07/05/2018,
Convivenza Civile,Disturbi da locali,1,VERDI/GIUSEPPE (VIA)                                                  ,,09/05/2018,
Convivenza Civile,Disturbi da locali,7,BALBO/CESARE (VIA)                                                    ,,09/05/2018,
Convivenza Civile,Disturbi da locali,9,GALIMBERTI/TANCREDI (PIAZZA)                                          ,,10/05/2018,
Convivenza Civile,Disturbi da locali,1,MONTEBELLO/(VIA)                                                      ,,10/05/2018,09.11
Convivenza Civile,Disturbi da locali,1,CARIGNANO/(PIAZZA)                                                    ,,10/05/2018,12.59
Convivenza Civile,Disturbi da locali,5,FOLIGNO/(VIA)                                                         ,,14/05/2018,09.04
Convivenza Civile,Disturbi da locali,6,FELETTO/(VIA)                                                         ,,16/05/2018,09.13
Convivenza Civile,Disturbi da locali,6,BRANDIZZO/(VIA)                                                       ,,16/05/2018,09.25
Convivenza Civile,Disturbi da locali,4,FABRIZI/NICOLA (VIA)                                                  ,,19/05/2018,
Convivenza Civile,Disturbi da locali,4,RISORGIMENTO/(PIAZZA)                                                 ,,19/05/2018,
Convivenza Civile,Disturbi da locali,8,S. ANSELMO/(VIA)                                                      ,,19/05/2018,
Convivenza Civile,Disturbi da locali,1,AMENDOLA/GIOVANNI (VIA)                                               ,,21/05/2018,
Convivenza Civile,Disturbi da locali,3,VIRLE/(VIA)                                                           ,,21/05/2018,
Convivenza Civile,Disturbi da locali,8,MONCALIERI/(CORSO)                                                    ,,21/05/2018,12.24
Convivenza Civile,Disturbi da locali,1,CASTELLO/(PIAZZA)                                                     ,,22/05/2018,12.15
Convivenza Civile,Disturbi da locali,1,LOVERA DI MARIA/ANNIBALE (VIA)                                        ,,24/05/2018,
Convivenza Civile,Disturbi da locali,,,,24/05/2018,10.09
Convivenza Civile,Disturbi da locali,1,VERDI/GIUSEPPE (VIA)                                                  ,,29/05/2018,
Convivenza Civile,Disturbi da locali,9,CROCE/BENEDETTO (CORSO)                                               ,,29/05/2018,
Convivenza Civile,Disturbi da locali,6,AGLIE'/(VIA)                                                          ,,31/05/2018,12.48
Convivenza Civile,Disturbi da locali,5,MASSARI/GIUSEPPE (VIA)                                                ,,06/06/2018,11.44
Convivenza Civile,Disturbi da locali,6,FELETTO/(VIA)                                                         ,,07/06/2018,
Convivenza Civile,Disturbi da locali,6,MONTANARO/(VIA)                                                       ,,07/06/2018,
Convivenza Civile,Disturbi da locali,7,MANTOVA/(VIA)                                                         ,,08/06/2018,
Convivenza Civile,Disturbi da locali,1,CADORNA/LUIGI (LUNGO PO)                                              ,,11/06/2018,
Convivenza Civile,Disturbi da locali,4,FRANCIA/(CORSO)                                                       ,,11/06/2018,
Convivenza Civile,Disturbi da locali,7,BRESCIA/(CORSO)                                                       ,,11/06/2018,
Convivenza Civile,Disturbi da locali,1,PESCATORE/MATTEO (VIA)                                                ,,11/06/2018,11.41
Convivenza Civile,Disturbi da locali,4,TELESIO/BERNARDINO (CORSO)                                            ,,11/06/2018,12.34
Convivenza Civile,Disturbi da locali,1,BLIGNY/(VIA)                                                          ,,13/06/2018,
Convivenza Civile,Disturbi da locali,7,FORTINO/(STRADA DEL)                                                  ,,17/06/2018,
Convivenza Civile,Disturbi da locali,2,MONFALCONE/(VIA)                                                      ,,18/06/2018,
Convivenza Civile,Disturbi da locali,1,STATI UNITI/(CORSO)                                                   ,,19/06/2018,
Convivenza Civile,Disturbi da locali,3,RACCONIGI/(CORSO)                                                     ,,19/06/2018,
Convivenza Civile,Disturbi da locali,6,ROSSI/LAURO (VIA)                                                     ,,19/06/2018,
Convivenza Civile,Disturbi da locali,2,S. MARINO/(VIA)                                                       ,,20/06/2018,
Convivenza Civile,Disturbi da locali,7,REGGIO/(VIA)                                                          ,,20/06/2018,
Convivenza Civile,Disturbi da locali,1,ROSINE/(VIA DELLE)                                                    ,,21/06/2018,
Convivenza Civile,Disturbi da locali,5,BORGARO/(VIA)                                                         ,,21/06/2018,11.51
Convivenza Civile,Disturbi da locali,7,BUNIVA/MICHELE (VIA)                                                  ,,23/06/2018,
Convivenza Civile,Disturbi da locali,8,MARCONI/GUGLIELMO (CORSO)                                             ,,23/06/2018,
Convivenza Civile,Disturbi da locali,8,MADAMA CRISTINA/(VIA)                                                 ,,25/06/2018,
Convivenza Civile,Rumori molesti,1,MONTE DI PIETA'/(VIA)                                                 ,,02/01/2018,13.00
Convivenza Civile,Rumori molesti,5,PETTINENGO/(VIA)                                                      ,,12/01/2018,
Convivenza Civile,Rumori molesti,5,MOLISE/(CORSO)                                                        ,,15/01/2018,
Convivenza Civile,Rumori molesti,8,DANTE/(CORSO)                                                         ,,15/01/2018,
Convivenza Civile,Rumori molesti,7,BOLOGNA/(VIA)                                                         ,,17/01/2018,
Convivenza Civile,Rumori molesti,2,GORIZIA/(VIA)                                                         ,,19/01/2018,
Convivenza Civile,Rumori molesti,5,MOSCA/GAETANO (VIA)                                                   ,,23/01/2018,
Convivenza Civile,Rumori molesti,3,RACCONIGI/(CORSO)                                                     ,,24/01/2018,
Convivenza Civile,Rumori molesti,9,FILADELFIA/(VIA)                                                      ,,25/01/2018,
Convivenza Civile,Rumori molesti,1,CARMINE/(VIA DEL)                                                     ,,26/01/2018,
Convivenza Civile,Rumori molesti,1,MAZZINI/GIUSEPPE (VIA)                                                ,,26/01/2018,
Convivenza Civile,Rumori molesti,6,BOTTICELLI/SANDRO (VIA)                                               ,,01/02/2018,
Convivenza Civile,Rumori molesti,6,GOTTARDO/(VIA)                                                        ,,03/02/2018,
Convivenza Civile,Rumori molesti,10,RISMONDO/FRANCESCO (VIA)                                              ,,05/02/2018,
Convivenza Civile,Rumori molesti,10,UNIONE SOVIETICA/(CORSO)                                              ,,05/02/2018,
Convivenza Civile,Rumori molesti,7,BRESCIA/(LARGO)                                                       ,,07/02/2018,
Convivenza Civile,Rumori molesti,4,SVIZZERA/(CORSO)                                                      ,,08/02/2018,
Convivenza Civile,Rumori molesti,9,PIO VII/(VIA)                                                         ,,08/02/2018,
Convivenza Civile,Rumori molesti,6,GIULIO CESARE/(CORSO)                                                 ,,08/02/2018,13.41
Convivenza Civile,Rumori molesti,6,SOFIA/(PIAZZA)                                                        ,,10/02/2018,
Convivenza Civile,Rumori molesti,6,CIGNA/FRANCESCO (VIA)                                                 ,,13/02/2018,
Convivenza Civile,Rumori molesti,4,PIANCERI/(VIA)                                                        ,,15/02/2018,
Convivenza Civile,Rumori molesti,1,MANZONI/ALESSANDRO (VIA)                                              ,,16/02/2018,
Convivenza Civile,Rumori molesti,1,GRAMSCI/ANTONIO (VIA)                                                 ,,18/02/2018,
Convivenza Civile,Rumori molesti,1,SACCHI/PAOLO (VIA)                                                    ,,19/02/2018,
Convivenza Civile,Rumori molesti,3,MONGINEVRO/(VIA)                                                      ,,19/02/2018,
Convivenza Civile,Rumori molesti,3,TOLMINO/(VIA)                                                         ,,20/02/2018,
Convivenza Civile,Rumori molesti,6,PALESTRINA/PIER LUIGI (VIA)                                           ,,20/02/2018,
Convivenza Civile,Rumori molesti,7,COSSILA/(VIA)                                                         ,,22/02/2018,
Convivenza Civile,Rumori molesti,1,RE UMBERTO/(CORSO)                                                    ,,27/02/2018,
Convivenza Civile,Rumori molesti,1,ROERO DI CORTANZE/ERCOLE TOMMASO (VIA)                                ,,01/03/2018,
Convivenza Civile,Rumori molesti,3,VANDALINO/(VIA)                                                       ,,01/03/2018,
Convivenza Civile,Rumori molesti,9,TUNISI/(VIA)                                                          ,,01/03/2018,
Convivenza Civile,Rumori molesti,6,MADDALENE/(VIA)                                                       ,,02/03/2018,
Convivenza Civile,Rumori molesti,1,BAVA/EUSEBIO (VIA)                                                    ,,11/03/2018,
Convivenza Civile,Rumori molesti,4,TENIVELLI/CARLO (VIA)                                                 ,,14/03/2018,
Convivenza Civile,Rumori molesti,2,TEMPIO PAUSANIA/(VIA)                                                 ,,15/03/2018,
Convivenza Civile,Rumori molesti,1,S. CHIARA/(VIA)                                                       ,,16/03/2018,
Convivenza Civile,Rumori molesti,6,SETTIMO/(STRADA DI)                                                   ,,16/03/2018,
Convivenza Civile,Rumori molesti,10,UGOLINI/AMEDEO (VIA)                                                  ,,16/03/2018,
Convivenza Civile,Rumori molesti,1,BLIGNY/(VIA)                                                          ,,11/04/2018,
Convivenza Civile,Rumori molesti,3,TRAPANI/(CORSO)                                                       ,,11/04/2018,
Convivenza Civile,Rumori molesti,1,PRINCIPE AMEDEO/(VIA)                                                 ,,13/04/2018,
Convivenza Civile,Rumori molesti,3,BARDONECCHIA/(VIA)                                                    ,,13/04/2018,
Convivenza Civile,Rumori molesti,7,NOVARA/(CORSO)                                                        ,,13/04/2018,
Convivenza Civile,Rumori molesti,6,TRONZANO/(VIA)                                                        ,,17/04/2018,
Convivenza Civile,Rumori molesti,6,RESPIGHI/OTTORINO (PIAZZA)                                            ,,19/04/2018,
Convivenza Civile,Rumori molesti,1,CORTE D'APPELLO/(VIA)                                                 ,,19/04/2018,11.06
Convivenza Civile,Rumori molesti,1,S. GIOVANNI/(PIAZZA)                                                  ,,20/04/2018,
